,Temperature,Date Time,Location
4,39.2,2026-04-06 00:00:00-06:00,DENVER
5,41.0,2026-04-06 00:05:00-06:00,DENVER
6,44.6,2026-04-06 00:10:00-06:00,DENVER
7,44.6,2026-04-06 00:15:00-06:00,DENVER
8,44.6,2026-04-06 00:20:00-06:00,DENVER
9,44.6,2026-04-06 00:25:00-06:00,DENVER
10,44.6,2026-04-06 00:30:00-06:00,DENVER
11,44.6,2026-04-06 00:35:00-06:00,DENVER
12,42.8,2026-04-06 00:40:00-06:00,DENVER
13,44.6,2026-04-06 00:45:00-06:00,DENVER
14,44.6,2026-04-06 00:50:00-06:00,DENVER
15,44.96,2026-04-06 00:53:00-06:00,DENVER
16,44.6,2026-04-06 00:55:00-06:00,DENVER
17,42.8,2026-04-06 01:00:00-06:00,DENVER
18,42.8,2026-04-06 01:05:00-06:00,DENVER
19,41.0,2026-04-06 01:10:00-06:00,DENVER
20,39.2,2026-04-06 01:15:00-06:00,DENVER
21,37.4,2026-04-06 01:20:00-06:00,DENVER
22,39.2,2026-04-06 01:25:00-06:00,DENVER
23,37.4,2026-04-06 01:30:00-06:00,DENVER
24,37.4,2026-04-06 01:35:00-06:00,DENVER
25,37.4,2026-04-06 01:40:00-06:00,DENVER
26,39.2,2026-04-06 01:45:00-06:00,DENVER
27,42.8,2026-04-06 01:50:00-06:00,DENVER
28,44.06,2026-04-06 01:53:00-06:00,DENVER
29,44.6,2026-04-06 01:55:00-06:00,DENVER
30,44.6,2026-04-06 02:00:00-06:00,DENVER
31,42.8,2026-04-06 02:05:00-06:00,DENVER
32,41.0,2026-04-06 02:10:00-06:00,DENVER
33,41.0,2026-04-06 02:15:00-06:00,DENVER
34,42.8,2026-04-06 02:20:00-06:00,DENVER
35,44.6,2026-04-06 02:25:00-06:00,DENVER
36,44.6,2026-04-06 02:30:00-06:00,DENVER
37,44.6,2026-04-06 02:35:00-06:00,DENVER
38,44.6,2026-04-06 02:40:00-06:00,DENVER
39,44.6,2026-04-06 02:45:00-06:00,DENVER
40,44.6,2026-04-06 02:50:00-06:00,DENVER
41,44.06,2026-04-06 02:53:00-06:00,DENVER
42,44.6,2026-04-06 02:55:00-06:00,DENVER
43,44.6,2026-04-06 03:00:00-06:00,DENVER
44,44.6,2026-04-06 03:05:00-06:00,DENVER
45,42.8,2026-04-06 03:10:00-06:00,DENVER
46,42.8,2026-04-06 03:15:00-06:00,DENVER
47,42.8,2026-04-06 03:20:00-06:00,DENVER
48,42.8,2026-04-06 03:25:00-06:00,DENVER
49,42.8,2026-04-06 03:30:00-06:00,DENVER
50,42.8,2026-04-06 03:35:00-06:00,DENVER
51,42.8,2026-04-06 03:40:00-06:00,DENVER
52,42.8,2026-04-06 03:45:00-06:00,DENVER
53,42.8,2026-04-06 03:50:00-06:00,DENVER
54,42.98,2026-04-06 03:53:00-06:00,DENVER
55,42.8,2026-04-06 03:55:00-06:00,DENVER
56,42.8,2026-04-06 04:00:00-06:00,DENVER
57,42.8,2026-04-06 04:05:00-06:00,DENVER
58,42.8,2026-04-06 04:10:00-06:00,DENVER
59,42.8,2026-04-06 04:15:00-06:00,DENVER
60,42.8,2026-04-06 04:20:00-06:00,DENVER
61,42.8,2026-04-06 04:25:00-06:00,DENVER
62,42.8,2026-04-06 04:30:00-06:00,DENVER
63,41.0,2026-04-06 04:35:00-06:00,DENVER
64,41.0,2026-04-06 04:40:00-06:00,DENVER
65,41.0,2026-04-06 04:45:00-06:00,DENVER
66,39.2,2026-04-06 04:50:00-06:00,DENVER
67,41.0,2026-04-06 04:53:00-06:00,DENVER
68,41.0,2026-04-06 04:55:00-06:00,DENVER
69,39.2,2026-04-06 05:00:00-06:00,DENVER
70,39.2,2026-04-06 05:05:00-06:00,DENVER
71,41.0,2026-04-06 05:10:00-06:00,DENVER
72,41.0,2026-04-06 05:15:00-06:00,DENVER
73,39.2,2026-04-06 05:20:00-06:00,DENVER
74,39.2,2026-04-06 05:25:00-06:00,DENVER
75,39.2,2026-04-06 05:30:00-06:00,DENVER
76,39.2,2026-04-06 05:35:00-06:00,DENVER
77,39.2,2026-04-06 05:40:00-06:00,DENVER
78,39.2,2026-04-06 05:45:00-06:00,DENVER
79,39.2,2026-04-06 05:50:00-06:00,DENVER
80,39.02,2026-04-06 05:53:00-06:00,DENVER
81,39.2,2026-04-06 05:55:00-06:00,DENVER
82,39.2,2026-04-06 06:00:00-06:00,DENVER
83,39.2,2026-04-06 06:05:00-06:00,DENVER
84,37.4,2026-04-06 06:10:00-06:00,DENVER
85,37.4,2026-04-06 06:15:00-06:00,DENVER
86,39.2,2026-04-06 06:20:00-06:00,DENVER
87,39.2,2026-04-06 06:25:00-06:00,DENVER
88,39.2,2026-04-06 06:30:00-06:00,DENVER
89,39.2,2026-04-06 06:35:00-06:00,DENVER
90,39.2,2026-04-06 06:40:00-06:00,DENVER
91,39.2,2026-04-06 06:45:00-06:00,DENVER
92,39.2,2026-04-06 06:50:00-06:00,DENVER
93,39.92,2026-04-06 06:53:00-06:00,DENVER
94,39.2,2026-04-06 06:55:00-06:00,DENVER
95,41.0,2026-04-06 07:00:00-06:00,DENVER
96,39.2,2026-04-06 07:05:00-06:00,DENVER
97,41.0,2026-04-06 07:10:00-06:00,DENVER
98,41.0,2026-04-06 07:15:00-06:00,DENVER
99,42.8,2026-04-06 07:20:00-06:00,DENVER
100,42.8,2026-04-06 07:25:00-06:00,DENVER
101,42.8,2026-04-06 07:30:00-06:00,DENVER
102,42.8,2026-04-06 07:35:00-06:00,DENVER
103,42.8,2026-04-06 07:40:00-06:00,DENVER
104,42.8,2026-04-06 07:45:00-06:00,DENVER
105,42.8,2026-04-06 07:50:00-06:00,DENVER
106,44.06,2026-04-06 07:53:00-06:00,DENVER
107,44.6,2026-04-06 07:55:00-06:00,DENVER
108,44.6,2026-04-06 08:00:00-06:00,DENVER
109,44.6,2026-04-06 08:05:00-06:00,DENVER
110,44.6,2026-04-06 08:10:00-06:00,DENVER
111,46.4,2026-04-06 08:15:00-06:00,DENVER
112,46.4,2026-04-06 08:20:00-06:00,DENVER
113,46.4,2026-04-06 08:25:00-06:00,DENVER
114,46.4,2026-04-06 08:30:00-06:00,DENVER
115,46.4,2026-04-06 08:35:00-06:00,DENVER
4,48.2,2026-04-06 00:00:00-05:00,CHICAGO
5,48.2,2026-04-06 00:05:00-05:00,CHICAGO
6,48.2,2026-04-06 00:10:00-05:00,CHICAGO
7,48.2,2026-04-06 00:15:00-05:00,CHICAGO
8,48.2,2026-04-06 00:20:00-05:00,CHICAGO
9,48.2,2026-04-06 00:25:00-05:00,CHICAGO
10,48.2,2026-04-06 00:30:00-05:00,CHICAGO
11,48.2,2026-04-06 00:35:00-05:00,CHICAGO
12,48.2,2026-04-06 00:40:00-05:00,CHICAGO
13,48.2,2026-04-06 00:45:00-05:00,CHICAGO
14,46.4,2026-04-06 00:50:00-05:00,CHICAGO
15,46.94,2026-04-06 00:53:00-05:00,CHICAGO
16,46.4,2026-04-06 00:55:00-05:00,CHICAGO
17,46.4,2026-04-06 01:00:00-05:00,CHICAGO
18,44.6,2026-04-06 01:05:00-05:00,CHICAGO
19,44.6,2026-04-06 01:10:00-05:00,CHICAGO
20,44.6,2026-04-06 01:15:00-05:00,CHICAGO
21,44.6,2026-04-06 01:20:00-05:00,CHICAGO
22,44.6,2026-04-06 01:25:00-05:00,CHICAGO
23,44.6,2026-04-06 01:30:00-05:00,CHICAGO
24,44.6,2026-04-06 01:35:00-05:00,CHICAGO
25,44.6,2026-04-06 01:40:00-05:00,CHICAGO
26,44.6,2026-04-06 01:45:00-05:00,CHICAGO
27,44.6,2026-04-06 01:50:00-05:00,CHICAGO
28,44.06,2026-04-06 01:53:00-05:00,CHICAGO
29,44.6,2026-04-06 01:55:00-05:00,CHICAGO
30,44.6,2026-04-06 02:00:00-05:00,CHICAGO
31,44.6,2026-04-06 02:05:00-05:00,CHICAGO
32,44.6,2026-04-06 02:10:00-05:00,CHICAGO
33,44.6,2026-04-06 02:15:00-05:00,CHICAGO
34,44.6,2026-04-06 02:20:00-05:00,CHICAGO
35,44.6,2026-04-06 02:25:00-05:00,CHICAGO
36,44.6,2026-04-06 02:30:00-05:00,CHICAGO
37,44.6,2026-04-06 02:35:00-05:00,CHICAGO
38,44.6,2026-04-06 02:40:00-05:00,CHICAGO
39,44.6,2026-04-06 02:45:00-05:00,CHICAGO
40,44.6,2026-04-06 02:50:00-05:00,CHICAGO
41,44.06,2026-04-06 02:53:00-05:00,CHICAGO
42,44.6,2026-04-06 02:55:00-05:00,CHICAGO
43,44.6,2026-04-06 03:00:00-05:00,CHICAGO
44,44.6,2026-04-06 03:05:00-05:00,CHICAGO
45,44.6,2026-04-06 03:10:00-05:00,CHICAGO
46,44.6,2026-04-06 03:15:00-05:00,CHICAGO
47,42.8,2026-04-06 03:20:00-05:00,CHICAGO
48,42.8,2026-04-06 03:25:00-05:00,CHICAGO
49,42.8,2026-04-06 03:30:00-05:00,CHICAGO
50,42.8,2026-04-06 03:35:00-05:00,CHICAGO
51,42.8,2026-04-06 03:40:00-05:00,CHICAGO
52,42.8,2026-04-06 03:45:00-05:00,CHICAGO
53,42.8,2026-04-06 03:50:00-05:00,CHICAGO
54,42.08,2026-04-06 03:53:00-05:00,CHICAGO
55,42.8,2026-04-06 03:55:00-05:00,CHICAGO
56,42.8,2026-04-06 04:00:00-05:00,CHICAGO
57,42.8,2026-04-06 04:05:00-05:00,CHICAGO
58,42.8,2026-04-06 04:10:00-05:00,CHICAGO
59,42.8,2026-04-06 04:15:00-05:00,CHICAGO
60,42.8,2026-04-06 04:20:00-05:00,CHICAGO
61,42.8,2026-04-06 04:25:00-05:00,CHICAGO
62,42.8,2026-04-06 04:30:00-05:00,CHICAGO
63,41.0,2026-04-06 04:35:00-05:00,CHICAGO
64,41.0,2026-04-06 04:40:00-05:00,CHICAGO
65,41.0,2026-04-06 04:45:00-05:00,CHICAGO
66,41.0,2026-04-06 04:50:00-05:00,CHICAGO
67,39.92,2026-04-06 04:53:00-05:00,CHICAGO
68,39.2,2026-04-06 04:55:00-05:00,CHICAGO
69,39.2,2026-04-06 05:00:00-05:00,CHICAGO
70,39.2,2026-04-06 05:05:00-05:00,CHICAGO
71,39.2,2026-04-06 05:10:00-05:00,CHICAGO
72,39.2,2026-04-06 05:15:00-05:00,CHICAGO
73,41.0,2026-04-06 05:20:00-05:00,CHICAGO
74,41.0,2026-04-06 05:25:00-05:00,CHICAGO
75,41.0,2026-04-06 05:30:00-05:00,CHICAGO
76,41.0,2026-04-06 05:35:00-05:00,CHICAGO
77,41.0,2026-04-06 05:40:00-05:00,CHICAGO
78,42.8,2026-04-06 05:45:00-05:00,CHICAGO
79,42.8,2026-04-06 05:50:00-05:00,CHICAGO
80,42.08,2026-04-06 05:53:00-05:00,CHICAGO
81,42.8,2026-04-06 05:55:00-05:00,CHICAGO
82,42.8,2026-04-06 06:00:00-05:00,CHICAGO
83,42.8,2026-04-06 06:05:00-05:00,CHICAGO
84,42.8,2026-04-06 06:10:00-05:00,CHICAGO
85,42.8,2026-04-06 06:15:00-05:00,CHICAGO
86,41.0,2026-04-06 06:20:00-05:00,CHICAGO
87,41.0,2026-04-06 06:25:00-05:00,CHICAGO
88,41.0,2026-04-06 06:30:00-05:00,CHICAGO
89,41.0,2026-04-06 06:35:00-05:00,CHICAGO
90,41.0,2026-04-06 06:40:00-05:00,CHICAGO
91,41.0,2026-04-06 06:45:00-05:00,CHICAGO
92,41.0,2026-04-06 06:50:00-05:00,CHICAGO
93,41.0,2026-04-06 06:53:00-05:00,CHICAGO
94,42.8,2026-04-06 06:55:00-05:00,CHICAGO
95,42.8,2026-04-06 07:00:00-05:00,CHICAGO
96,42.8,2026-04-06 07:05:00-05:00,CHICAGO
97,42.8,2026-04-06 07:10:00-05:00,CHICAGO
98,42.8,2026-04-06 07:15:00-05:00,CHICAGO
99,42.8,2026-04-06 07:20:00-05:00,CHICAGO
100,42.8,2026-04-06 07:25:00-05:00,CHICAGO
101,42.8,2026-04-06 07:30:00-05:00,CHICAGO
102,42.8,2026-04-06 07:35:00-05:00,CHICAGO
103,42.8,2026-04-06 07:40:00-05:00,CHICAGO
104,42.8,2026-04-06 07:45:00-05:00,CHICAGO
105,42.8,2026-04-06 07:50:00-05:00,CHICAGO
106,42.98,2026-04-06 07:53:00-05:00,CHICAGO
107,42.8,2026-04-06 07:55:00-05:00,CHICAGO
108,42.8,2026-04-06 08:00:00-05:00,CHICAGO
109,42.8,2026-04-06 08:05:00-05:00,CHICAGO
110,42.8,2026-04-06 08:10:00-05:00,CHICAGO
111,42.8,2026-04-06 08:15:00-05:00,CHICAGO
112,42.8,2026-04-06 08:20:00-05:00,CHICAGO
113,42.8,2026-04-06 08:25:00-05:00,CHICAGO
114,42.8,2026-04-06 08:30:00-05:00,CHICAGO
115,44.6,2026-04-06 08:35:00-05:00,CHICAGO
116,44.6,2026-04-06 08:40:00-05:00,CHICAGO
117,44.6,2026-04-06 08:45:00-05:00,CHICAGO
118,44.6,2026-04-06 08:50:00-05:00,CHICAGO
119,44.96,2026-04-06 08:53:00-05:00,CHICAGO
120,44.6,2026-04-06 08:55:00-05:00,CHICAGO
121,44.6,2026-04-06 09:00:00-05:00,CHICAGO
122,44.6,2026-04-06 09:05:00-05:00,CHICAGO
123,44.6,2026-04-06 09:10:00-05:00,CHICAGO
124,44.6,2026-04-06 09:15:00-05:00,CHICAGO
125,44.6,2026-04-06 09:20:00-05:00,CHICAGO
126,46.4,2026-04-06 09:25:00-05:00,CHICAGO
127,44.6,2026-04-06 09:30:00-05:00,CHICAGO
128,44.6,2026-04-06 09:35:00-05:00,CHICAGO
3,75.2,2026-04-06 00:00:00-04:00,MIAMI
4,75.2,2026-04-06 00:05:00-04:00,MIAMI
5,75.2,2026-04-06 00:10:00-04:00,MIAMI
6,75.2,2026-04-06 00:15:00-04:00,MIAMI
7,75.2,2026-04-06 00:20:00-04:00,MIAMI
8,75.2,2026-04-06 00:25:00-04:00,MIAMI
9,75.2,2026-04-06 00:30:00-04:00,MIAMI
10,75.2,2026-04-06 00:35:00-04:00,MIAMI
11,75.2,2026-04-06 00:40:00-04:00,MIAMI
12,75.2,2026-04-06 00:45:00-04:00,MIAMI
13,75.2,2026-04-06 00:50:00-04:00,MIAMI
14,75.02,2026-04-06 00:53:00-04:00,MIAMI
15,75.2,2026-04-06 00:55:00-04:00,MIAMI
16,75.2,2026-04-06 01:00:00-04:00,MIAMI
17,75.2,2026-04-06 01:05:00-04:00,MIAMI
18,75.2,2026-04-06 01:10:00-04:00,MIAMI
19,75.2,2026-04-06 01:15:00-04:00,MIAMI
20,75.2,2026-04-06 01:20:00-04:00,MIAMI
21,75.2,2026-04-06 01:25:00-04:00,MIAMI
22,75.2,2026-04-06 01:30:00-04:00,MIAMI
23,75.2,2026-04-06 01:35:00-04:00,MIAMI
24,75.2,2026-04-06 01:40:00-04:00,MIAMI
25,75.2,2026-04-06 01:45:00-04:00,MIAMI
26,75.2,2026-04-06 01:50:00-04:00,MIAMI
27,75.02,2026-04-06 01:53:00-04:00,MIAMI
28,75.2,2026-04-06 01:55:00-04:00,MIAMI
29,75.2,2026-04-06 02:00:00-04:00,MIAMI
30,75.2,2026-04-06 02:05:00-04:00,MIAMI
31,75.2,2026-04-06 02:10:00-04:00,MIAMI
32,75.2,2026-04-06 02:15:00-04:00,MIAMI
33,75.2,2026-04-06 02:20:00-04:00,MIAMI
34,75.2,2026-04-06 02:25:00-04:00,MIAMI
35,75.2,2026-04-06 02:30:00-04:00,MIAMI
36,75.2,2026-04-06 02:35:00-04:00,MIAMI
37,75.2,2026-04-06 02:40:00-04:00,MIAMI
38,75.2,2026-04-06 02:45:00-04:00,MIAMI
39,75.2,2026-04-06 02:50:00-04:00,MIAMI
40,75.02,2026-04-06 02:53:00-04:00,MIAMI
41,75.2,2026-04-06 02:55:00-04:00,MIAMI
42,75.2,2026-04-06 03:00:00-04:00,MIAMI
43,75.2,2026-04-06 03:05:00-04:00,MIAMI
44,75.2,2026-04-06 03:10:00-04:00,MIAMI
45,75.2,2026-04-06 03:15:00-04:00,MIAMI
46,75.2,2026-04-06 03:20:00-04:00,MIAMI
47,75.2,2026-04-06 03:25:00-04:00,MIAMI
48,75.2,2026-04-06 03:30:00-04:00,MIAMI
49,73.4,2026-04-06 03:35:00-04:00,MIAMI
50,73.4,2026-04-06 03:40:00-04:00,MIAMI
51,73.4,2026-04-06 03:45:00-04:00,MIAMI
52,73.4,2026-04-06 03:50:00-04:00,MIAMI
53,73.94,2026-04-06 03:53:00-04:00,MIAMI
54,73.4,2026-04-06 03:55:00-04:00,MIAMI
55,73.4,2026-04-06 04:00:00-04:00,MIAMI
56,73.4,2026-04-06 04:05:00-04:00,MIAMI
57,73.4,2026-04-06 04:10:00-04:00,MIAMI
58,75.2,2026-04-06 04:15:00-04:00,MIAMI
59,75.2,2026-04-06 04:20:00-04:00,MIAMI
60,73.4,2026-04-06 04:25:00-04:00,MIAMI
61,73.4,2026-04-06 04:30:00-04:00,MIAMI
62,73.4,2026-04-06 04:35:00-04:00,MIAMI
63,73.4,2026-04-06 04:40:00-04:00,MIAMI
64,73.4,2026-04-06 04:45:00-04:00,MIAMI
65,73.4,2026-04-06 04:50:00-04:00,MIAMI
66,73.94,2026-04-06 04:53:00-04:00,MIAMI
67,73.4,2026-04-06 04:55:00-04:00,MIAMI
68,73.4,2026-04-06 05:00:00-04:00,MIAMI
69,73.4,2026-04-06 05:05:00-04:00,MIAMI
70,73.4,2026-04-06 05:10:00-04:00,MIAMI
71,73.4,2026-04-06 05:15:00-04:00,MIAMI
72,73.4,2026-04-06 05:20:00-04:00,MIAMI
73,73.4,2026-04-06 05:25:00-04:00,MIAMI
74,73.4,2026-04-06 05:30:00-04:00,MIAMI
75,73.4,2026-04-06 05:35:00-04:00,MIAMI
76,73.4,2026-04-06 05:40:00-04:00,MIAMI
77,73.4,2026-04-06 05:45:00-04:00,MIAMI
78,73.4,2026-04-06 05:50:00-04:00,MIAMI
79,73.04,2026-04-06 05:53:00-04:00,MIAMI
80,73.4,2026-04-06 05:55:00-04:00,MIAMI
81,71.6,2026-04-06 06:00:00-04:00,MIAMI
